Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	Bird	Experiment	Signal Type	Stim Type	Response	Overlapping	Notes
95	Spectrogram 1	1	510.767326397	513.185875332	0.0	YKD	A	r				
94	Waveform 1	1	513.347111928	514.264145066	0.0	YKD	A	c				our bird
94	Spectrogram 1	1	513.347111928	514.264145066	0.0	YKD	A	c				our bird
22	Waveform 1	1	516.025151303	518.484009387	0.0	YKD	A	s	c			
22	Spectrogram 1	1	516.025151303	518.484009387	0.0	YKD	A	s	c			
96	Waveform 1	1	519.292711704	519.700841837	0.0	YKD	A	c				playback
96	Spectrogram 1	1	519.292711704	519.700841837	0.0	YKD	A	c				playback
23	Waveform 1	1	527.931466542	530.465904281	0.0	YKD	A	s	c			
23	Spectrogram 1	1	527.931466542	530.465904281	0.0	YKD	A	s	c			
97	Waveform 1	1	530.886631438	531.511423246	0.0	YKD	A	c				playback
97	Spectrogram 1	1	530.886631438	531.511423246	0.0	YKD	A	c				playback
24	Waveform 1	1	540.044366414	542.533456359	0.0	YKD	A	s	c			
24	Spectrogram 1	1	540.044366414	542.533456359	0.0	YKD	A	s	c			
98	Waveform 1	1	543.110381624	543.765405294	0.0	YKD	A	c				playback
98	Spectrogram 1	1	543.110381624	543.765405294	0.0	YKD	A	c				playback
99	Waveform 1	1	551.600496737	552.169863465	0.0	YKD	A	c				
99	Spectrogram 1	1	551.600496737	552.169863465	0.0	YKD	A	c				
25	Waveform 1	1	552.394082690	554.233187610	0.0	YKD	A	s	f	y	y	
25	Spectrogram 1	1	552.394082690	554.233187610	0.0	YKD	A	s	f	y	y	
101	Waveform 1	1	554.527948832	555.938769044	0.0	YKD	A	r				
101	Spectrogram 1	1	554.527948832	555.938769044	0.0	YKD	A	r				
100	Waveform 1	1	556.644179150	558.800718618	0.0	YKD	A	c				playback then the bird
100	Spectrogram 1	1	556.644179150	558.800718618	0.0	YKD	A	c				playback then the bird
26	Waveform 1	1	563.484136670	565.338357521	0.0	YKD	A	s	f	y		
26	Spectrogram 1	1	563.484136670	565.338357521	0.0	YKD	A	s	f	y		
103	Waveform 1	1	566.052141630	568.198603810	0.0	YKD	A	r				
103	Spectrogram 1	1	566.052141630	568.198603810	0.0	YKD	A	r				
102	Waveform 1	1	572.747684938	574.420514618	0.0	YKD	A	c				playback... the bird
102	Spectrogram 1	1	572.747684938	574.420514618	0.0	YKD	A	c				playback... the bird
28	Waveform 1	1	575.098209069	576.760961462	0.0	YKD	A	s	f			
28	Spectrogram 1	1	575.098209069	576.760961462	0.0	YKD	A	s	f			
104	Waveform 1	1	577.142195611	577.802257924	0.0	YKD	A	c				
104	Spectrogram 1	1	577.142195611	577.802257924	0.0	YKD	A	c				
29	Waveform 1	1	586.601432312	588.233952843	0.0	YKD	A	s	f	y	y	
29	Spectrogram 1	1	586.601432312	588.233952843	0.0	YKD	A	s	f	y	y	
106	Waveform 1	1	588.096206154	589.945388361	0.0	YKD	A	r				
106	Spectrogram 1	1	588.096206154	589.945388361	0.0	YKD	A	r				
105	Waveform 1	1	592.807338767	594.329009139	0.0	YKD	A	c				playback... our bird
105	Spectrogram 1	1	592.807338767	594.329009139	0.0	YKD	A	c				playback... our bird
30	Waveform 1	1	598.250775733	599.827871185	0.0	YKD	A	s	f			
30	Spectrogram 1	1	598.250775733	599.827871185	0.0	YKD	A	s	f			
